address,balance,
MAN.589xt49uyBafHKhC3SnFEUJ6crzZ,0.235672287,
MAN.5Bua7F1mVenRqw8KArgjF7VB3yzA,5449.9426951,
MAN.5E3goNmxGKGqry2Vih17HRrua7C9,0.722363042,
MAN.5GMX9EbUUzuH28tx4NNyJsg7Gu2k,977.451761671437702241,
MAN.5HDhEdAwQQjZAtHLcznSqbxoQZtQ,0.117271106,
MAN.5JyRTvPacmSRQ2rex6jSNCUWg4Rj,41.765625,
MAN.5aG5ojRXX6gon16W1GHmt5ozR4Ld,0.002244,
MAN.5i1G2Ett652utzVzq8WvV3zo9piK,0.636342675,
MAN.5kAtnKQuSLTW9vNTe3DGkGY8r9ov,0.458333412,
MAN.5m2oBFeUxxtbQCC745xhZGKG9EFq,0.667343585,
MAN.5oGdYyEAVzwK1LJgfBGQ4JVC3MoM,1,
MAN.5qx9trghc6jupmbc4KCsV2gG7Fan,823.799657230670028723,
MAN.5t5fjMZSaFBAzsSXFrfk5SjCEJVz,0.071989819,
MAN.61u3rHcdx2GPGW7KjdDFwTkktiQi,0.998627104,
MAN.63BY3V7HZ8AiEkuBrZznfHPy1CiQ,0.747571547,
MAN.63KY1CAWjHLeypQruQHqmFPSAdqJ,0.869030203,
MAN.66Vrqv5pbxCKq1UhEY9q8jC3sCPX,7061.14586259,
MAN.67fxNvqDdRscXLQELxtQ6comf9oZ,1.01,
MAN.69N6dhgJChUBKa5DT73xupyZAMoe,0.181497335,
MAN.6D8KQ5ZEibyMejUFsTKw9Z3szZXh,0.636855874,
MAN.6Esa7KXZ1D2RcL3aFRACrGFnvg3K,0.677365358,
MAN.6L2DLyV25fFYmLmwxHwTYHrTh1H6,1066.93,
MAN.6P6m58nJpRMy3dn18quqxeWN66Ej,404,
MAN.6Vns3uHrjt8MJ5sHyqE2ZuSxmcNh,10150.654189480588,
MAN.6WnV2ysdr7wKXgaYPc46W129oiT6,2968.12189339702,
MAN.6XB7DMrVH6J1w2Ttvo1YExJTj1tk,0.417957263,
MAN.6apcFYQbYZhwLZz3bb4Tjfkg4myJ,8982.955447059614460226,
MAN.6eArBkCspopCWPdunXuAHf59T84W,0.578356586,
MAN.6ffXLyLw5tJB9s3hBmbzVbEBNFYA,0.020491133,
MAN.6ftS6Q5AMKCFrtr6uHgvVLu7wgCR,0.603680226,
MAN.6i3SBJj7thR64U52wZH5fbL96Sef,1267.0077100679766365,
MAN.6iPnbFuVURYZN2K7NHst3hBmwNj9,0.857217426,
MAN.6ivJM4LRBJGaHkEYhsREQfohpApx,12757.588170665921560374,
MAN.6jSPrUi8UjDmdisFBUha6y3DHVhz,0.149319638,
MAN.6nPFQSGXjJ4DtE7WE5gG1kX8ZZma,144.98099028,
MAN.6nzeZpVJpXYJkY2ph93h7anYp243,0.717313058,
MAN.6qf2ZA5tqf6fJBenxTnirZxDwak6,0.369610224187431154,
MAN.6uUFuzJZtihEiD2r6oRvMQmJXQ1q,0.470965346,
MAN.6wYbBdFVMhoCTYMwyuxYbisyktMb,0.8,
MAN.6ypFGLtrgtumAZ8pwPwP3mmDm74p,0.120022953,
MAN.7D8eEJeJA43sf2Qr1qVtFSkxiKrz,0.335381523,
MAN.7DMPxqtHez9DXKLh84ijnTQmJaKN,0.372212441,
MAN.7FYiR2xjBGVGNWk2BEZcHYKb15Yf,0.264357665,
