address,balance,
MAN.1111111111111111111B8,81686556.199088761498424994,
MAN.12cUHUj2nEesvbF45214vs9ES2z7,0.00000375549161055,
MAN.1DguJs6ok2BN5WAHVa3NKjGAyhHU,118.48637176,
MAN.1FRtffWYxkapVT3fLmZYTMEYc4w2,0.000043234270892772,
MAN.1KhzABeiJYvQDrd5LUxybsKggHEj,1385.96798,
MAN.1NitrXXAs7KWbm41MU7iQxHCJmtE,0.000099999995181723,
MAN.1SQyQw6UmjCfFmqpGJK7SgWqCTMF,1.998825392,
MAN.1bH1GMywMuinLVHj3s5G4f4x4xTJ,0,
MAN.1dpvmQ3KFYhdqZZJtT6PYUffnU2C,0.000000000000473624,
MAN.1eTgDDNwzVaEWN5zGbzdjKdKCM2H,287.11449676,
MAN.1iyY1CnUM1KDnXZcHbCDeRgvYpq6,30000,
MAN.26af6f7oP5aRyYwhPg97V8X3hSoB,18.38324676,
MAN.27H88SwyRp5A1mBFKppVScHUdjW4,44031.755335416,
MAN.2VAv4mdbutvZoQ4jHTo9zqJSgBHA,142.8,
MAN.2VeMPY6oizVuLYoAk36No2ZPUT6c,88.99849376,
MAN.2exb6BdnVcJJdovbA5q8mVk8U9ST,112.659444452342437182,
MAN.2h2XjdFbGfDRiHUVNGhcZudQKLXP,0.000000000005964459,
MAN.3AeDSk1MpQKZ12muFPJdNLCVpx13,0.001,
MAN.3J5yiU7Ks3RpB2HYAmJkNQ5ViXBQ,7.277765109629769118,
MAN.3t3Wck6NNspXU9kP3ZU9EGxgVwQ8,10411.540683735173171429,
MAN.4CrdBttwAv4cveJSRq59ofTDBfuK,0.000299999996743588,
MAN.4EdnfyPk4iqHSbqAT3NzP49b8LJC,589,
MAN.4JBhKmL7KebvX1iEKqXnsavMkYkA,0,
MAN.4SCRQSZBaraTtDoFoCzJE6wZTQwB,10.885,
MAN.4TMSBSM6KRdxT4hsQ2zz41LjPjNY,161.840597704703177755,
MAN.4TY2uCnzjbZB3KFRvYgbsQhrXy6G,4143.224892373760319339,
MAN.4bJzXVRNyo8XdoRkPFBruCUnZdfo,95.541395710839590227,
MAN.4cWdQKn5L6uhdUjvVWj9PVfQ5vJU,22579.769347194301736459,
MAN.4dUSB6zBRGQdVNTC9FG6dAQ8gfA7,10.722466557,
MAN.4r8inCgYcoBkN7t8jVd6kut8tjz3,5294,
MAN.5Bua7F1mVenRqw8KArgjF7VB3yzA,5449.9426951,
MAN.5JyRTvPacmSRQ2rex6jSNCUWg4Rj,27.10512176,
MAN.5aG5ojRXX6gon16W1GHmt5ozR4Ld,6869.28,
MAN.66Vrqv5pbxCKq1UhEY9q8jC3sCPX,7061.14586259,
MAN.6L2DLyV25fFYmLmwxHwTYHrTh1H6,1066.93,
MAN.6P6m58nJpRMy3dn18quqxeWN66Ej,404,
MAN.6WnV2ysdr7wKXgaYPc46W129oiT6,2968.12189339702,
MAN.6apcFYQbYZhwLZz3bb4Tjfkg4myJ,8754.551304034663141282,
MAN.6i3SBJj7thR64U52wZH5fbL96Sef,1267.0077100679766365,
MAN.6ivJM4LRBJGaHkEYhsREQfohpApx,12322.05821310006556342,
MAN.6nPFQSGXjJ4DtE7WE5gG1kX8ZZma,117.48637176,
MAN.6qf2ZA5tqf6fJBenxTnirZxDwak6,0.369610224187431154,
MAN.7Hrds48CvyQGZ2QrEssrMEDW6KqF,793.073473424808932233,
MAN.7QysHEoK2FzQktnxnqFLadvpgwyb,60,
MAN.7ea2SWxzXcgAWJf6YKaQg7y3q7vd,839.94908398,
MAN.7kop1CpKSSMCZpyGVgwYoYPZ4GtZ,2000.21936588,
MAN.7op8rHkFH2vHErfEpUYJiayLqmVA,31880,
MAN.7rD8TzXU8uUUSTx1oFuPiRHtag5A,852,
MAN.7vzns3LuN7ZW8TxNmjDMoQRa23Ms,8796.796898438372207582,
MAN.82ZbkuD2nZy1BFvCej8eRWSbJqmE,8635.907377158094961419,
MAN.8YoxUb7fHBSvnYVshapMF82GW8iw,161.554119912,
MAN.8Z2Je7pDvvovPXX5xDeDQ9JjxyAC,8,
MAN.8ZvadqXteTo55e9wTwTF1U2sgoct,173.3437,
MAN.8atdXU4tUd14eqxYQA4BhwjvkqJD,181.314422342919772564,
MAN.8beYDEinJRaM7e2z97L5hUqvrHUV,410.10512176,
MAN.9apbaBH6N1SKLqdfHR7EtqUXiFvn,114.851997912,
MAN.9gUFwVV3C4VVAsaguNjVavjFZvr1,1.17857161028175594,
MAN.9xJQt6mRmDW3XxNeXtsh8JxEp2F1,20422.455650550390505629,
MAN.AXpXnae3cxXapDzpo2NxQqr1d6WG,0,
MAN.Acr1rfrbv4mP1TvahdiTiw3XtFM7,886971.224708,
MAN.Ad1tii3ZjnEn2N54r1DmdkuPKgHH,10,
MAN.AnfPrBVJ3nnx4eRoZ1jwzSR9ZAJa,0,
MAN.B5u1XSXCfbhbDg46r672nBTn9Eop,5489.79425828,
MAN.B8UNVqsEhLdmuYNYSqQ3req7PRez,19262.31586774856336468,
MAN.B9i9iLnsjemDdTyFfz1WzLfaHTQa,50,
MAN.BNhM732KQKdeuV6su9ZhaiFjghQM,22.90474376,
MAN.BYsSpHhEpUYEHcAASYzVzqScWFgW,438.271889421764620744,
MAN.BnQD1GggrFYYojGJHLCvEd4jkrCi,57.88637176,
MAN.C7jAdUKeJ2gxdmun5Rw1wGjfeYVt,775.6447768,
MAN.C9Q1uG3yXd62sHe9UmRQM3jpAUwC,404.409962359485928316,
MAN.CAva2TiUzMKFeiTWwKn2RfjZjfvc,20,
MAN.Cg4q7HDQK7hAAyPbV8ktjdetiadr,70.60824676,
MAN.Cu49sRKme1s93oRk7co6jCrYyKQb,1038.74887176,
MAN.CzvQ45Ttko4pemM1Jj3P9DwVwf23,1,
MAN.D6CCnUkcsSdbYK6DNgnrv7VssmBE,3683.129180772455837161,
MAN.DCjNSJK68JD65s1UX5MaG2EfB7LK,2783,
MAN.DGJmo3hV3XUkM1RP6bnmeFYz3sZ5,172.615390624,
MAN.DGrmKYV21TU9C1ZAaWQ6knxZcACJ,791.966123598682015845,
MAN.DHuBfnd4Et7HFGeE88Dq5S5aekDg,3244.84469233,
MAN.DJMnZCxxiPcgNxHccvqVtNZM7obo,513.25084314,
MAN.DfLAXStH7U5atvRFwaR9fRN9JkJN,0.000400000000989448,
MAN.DjrhRENPoQAh3ppnzuPE4nvzYBnH,10.45649132,
MAN.EVxNQdYkLw22ZTAzAFa7si4wUNpq,11,
MAN.EZZh88N8pHN5jSTqVda92m1a4Y2u,180.976578696,
MAN.Endii3m2K2DUQnfVvYDjS5UvFQE9,4004.135,
MAN.Ex996tqZhSbRZnksGGAN3c3GmKbz,58.28637176,
MAN.F6uwryHdW477JcRYfCtsVfifMHqJ,955.409133798020896042,
MAN.F7XekanQuyQrf1knTQy6t233JMuF,1750,
MAN.FC1qooaNwMkmmWBVUGQZMpXv3BgN,1099.257830826309741546,
MAN.FDGoKPEKkA7i9GxrBnH6JgLX2tW6,598.07387176,
MAN.FPA8Ht2GoGDfo32EC9pZoUdzYYCN,3078.610430772455837161,
MAN.Fk9FAQA4euhvmtbMyeWtT6pmRqt3,129.66961852,
MAN.FuUGYrnWYBcWsqmHaa49h5ZZdcN5,1004.98243429,
MAN.GgeB1vyXyAZ5uqVpCw21dsvgGAaC,0,
MAN.GxUwA1cGHMku9CibP7FbHq52NF5j,1519.12,
MAN.GxiYkkrY7Y67ENjSrEiMtxJdsYh1,10229.0682,
MAN.H1XJZSKsLr168UVVM2nHou7cTkbR,11,
